C¢digo de Barras;Tipo de Produto;Descriá∆o;Preáo de Custo;Preáo Venda Varejo;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque m°nimo;Quantidade em Estoque;Marca;Modelo;C¢digo Balanáa;C¢digo Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Bot∆o PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preáo De;Preáo Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descriá∆o do Produto;Garantia;Itens Inclusos;Especificaá‰es
6499404;Produto;0001000021 - SPRITE LIM LT 350ML;2.09;3.00;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;CERV DEVASSA 350ML TROPICAL;2.33;3.50;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;22030000;;;;;;;;0.00;3.50;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;TNT LATA;4.09;7.50;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;22029900;;;;;;;;0.00;7.50;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;TNT LATA zero acucar;4.09;7.50;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;22029900;;;;;;;;0.00;7.50;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;tnt lata acai com guarana;4.09;7.50;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;7.50;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;ENERGETICO TNT MACA VERDE;4.78;7.50;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;22029900;;;;;;;;0.00;7.50;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;TONICA ANTARCTICA DIET LATA;2.50;4.00;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;22021000;;;;;;;;0.00;4.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;agua tonica 350ml;2.50;4.00;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;4.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;REFRIG PEPSI ZERO LATA;1.68;4.00;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;22021000;;;;;;;REFRIG PEPSI ZERO LATA;0.00;4.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;REFRIGERANTE GUARANa  ANTARCTICA ZERO;2.07;4.00;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;22021000;;;;;;;;0.00;4.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;REFRIGERANTE PEPSI LATA 350ML;1.99;4.00;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;22021000;;;;;;;;0.00;4.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;REF.H2OH LIMONETO C/GAS PET;2.61;3.99;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;22021000;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;PIPOCA MICROONDAS NATURAL YOKI 100G;1.37;1.99;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;20081900;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;PIPOCA MICROONDAS NATURAL C/SAL YOKI 100G;1.37;1.99;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;20081900;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;PIPOCA MICROONDAS MANTEIGA YOKI 100G;1.37;1.99;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;20081900;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
