C¢digo de Barras;Tipo de Produto;Descriá∆o;Preáo de Custo;Preáo Venda Varejo;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque m°nimo;Quantidade em Estoque;Marca;Modelo;C¢digo Balanáa;C¢digo Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Bot∆o PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preáo De;Preáo Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descriá∆o do Produto;Garantia;Itens Inclusos;Especificaá‰es
5,60E+12;Produto;VIN POR HERDADE SAO MIGUEL ESCOLHA DOS ENOLOGOS TTO 750ML;116.77;199.99;Unidade;Sim;VINHOS;PORTUGAL;Sim;1.000;3.000;CANTU;;;32193;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,41E+12;Produto;VIN ESP TORRES MAS RABELL TEMPRANILLO TTO 750ML;30.00;43.99;Unidade;Sim;VINHOS;ESPANHA;Sim;1.000;1.000;CANTU;;;55366;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO CLASICO MERLOT TTO 750ML;32.25;49.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;2.000;CANTU;;;1392;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO GREY MAIPO CABERNET SAUVIGNON TTO 750ML;107.80;154.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;6.000;CANTU;;;1194;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO RESERVA ROSE 750ML;44.51;64.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;2.000;CANTU;;;6717;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
3,50E+12;Produto;ESPUM FRA LA ROCHE ROSE 750ML;28.71;65.00;Unidade;Sim;ESPUMANTES;FRANC“S;Sim;1.000;6.000;CANTU;;;24389;;Mercadoria para Revenda;22041090;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;65.00;0.000;0.000;0.000;0.000;;;;
8,00E+12;Produto;VIN ITA LE CASINE PRIMITIVO TTO 750ML;46.88;71.99;Unidade;Sim;VINHOS;ITALIA;Sim;1.000;3.000;CANTU;;;623;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN ARG CRIOS TORRONTES BCO 750ML;45.05;69.99;Unidade;Sim;VINHOS;ARGENTINA;Sim;1.000;5.000;CANTU;;;80300;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
3,70E+12;Produto;VIN FRA FRANC BEAUSEJOUR BORDEAUX TTO 750ML;59.01;82.99;Unidade;Sim;VINHOS;FRANC“S;Sim;1.000;0.000;CANTU;;;61548;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,41E+12;Produto;VIN ESP TORRES MAS RABELL ROSE 750ML;30.00;43.99;Unidade;Sim;VINHOS;ESPANHA;Sim;1.000;7.000;CANTU;;;2082;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO RESERVA CASABLANCA SAUVIGNON BLANC BCO 750ML;44.63;64.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;0.000;CANTU;;;258;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
2,00E+12;Produto;VIN CHI TANTEHUE CARMENERE TTO 750ML;22.13;37.99;Unidade;N∆o;VINHOS;CHILE;Sim;1.000;4.000;CANTU;;;6070187;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
6,01E+12;Produto;VIN AFRI LYNGROVE COLLECTION PINOTAGE TTO 750ML;47.82;71.99;Unidade;Sim;VINHOS;AFRICANO;Sim;1.000;6.000;CANTU;;;40028;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN ARG ANUBIS MALBEC TTO 750ML;44.28;59.99;Unidade;Sim;VINHOS;AFRICANO;Sim;1.000;1.000;CANTU;;;80027;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,06E+12;Produto;VIN ITA FRISANTE PINO PINO BCO 750ML;40.81;59.99;Unidade;Sim;VINHOS;ITALIA;Sim;1.000;1.000;CANTU;;;10809;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO RESERVA CASABLANCA PINOT NOIR TTO 750ML;45.82;64.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;4.000;CANTU;;;1606;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,52E+11;Produto;VIN EUA TRINCHERO SUTTER HOME ZINFADEL TTO 750ML;48.75;69.99;Unidade;Sim;VINHOS;EUA;Sim;1.000;3.000;CANTU;;;2108;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
6,01E+12;Produto;VIN AFRI LYNGROVE COLLECTION SAUVIGNON BLANC BCO 750ML;52.80;74.99;Unidade;Sim;VINHOS;AFRICANO;Sim;1.000;3.000;CANTU;;;40080;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
5,60E+12;Produto;VIN POR BARRICADO TTO 750ML;24.81;49.99;Unidade;Sim;VINHOS;PORTUGAL;Sim;1.000;16.000;CANTU;;;35781;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;49.99;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO GREY LEYDA PINOT NOIR TTO 750ML;91.03;154.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;5.000;CANTU;;;3853;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,79E+12;Produto;VIN ARG THE GRILL MASTER TTO 750ML;21.18;32.99;Unidade;Sim;VINHOS;ARGENTINA;Sim;1.000;3.000;CANTU;;;97863;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
5,60E+12;Produto;VIN POR CICONIA ALENTEJO TTO 750ML;28.78;54.99;Unidade;Sim;VINHOS;PORTUGAL;Sim;1.000;29.000;CANTU;;;31202;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN CHI CHILANO CABERNET SAUVIGNON TTO 750ML;16.50;32.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;16.000;CANTU;;;500010;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
3,50E+12;Produto;ESPUM FRA LA ROCHE DEMI SEC BCO 750ML;28.38;65.00;Unidade;Sim;ESPUMANTES;FRANC“S;Sim;1.000;13.000;CANTU;;;6820;;Mercadoria para Revenda;22029900;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;65.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO GRAN RESERVA CABERNET SAUVIGNON TTO 750 ML;72.76;104.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;6.000;CANTU;;;8582;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;104.99;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN ARG BENMARCO MALBEC TTO 750ML;75.96;129.99;Unidade;Sim;VINHOS;ARGENTINA;Sim;1.000;1.000;CANTU;;;80539;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,79E+12;Produto;VIN ARG THE GRILL MASTER BCO 750ML;13.20;32.99;Unidade;Sim;VINHOS;ARGENTINA;Sim;1.000;36.000;CANTU;;;97856;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,06E+12;Produto;VIN ITA FRISANTE PINO PINO ROSE 750ML;39.64;59.99;Unidade;Sim;VINHOS;ITALIA;Sim;1.000;5.000;CANTU;;;11219;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
2,00E+12;Produto;VIN CHI TANTEHUE MERLOT TTO 750ML;22.13;37.99;Unidade;N∆o;VINHOS;CHILE;Sim;1.000;4.000;CANTU;;;6070186;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,52E+11;Produto;VIN EUA TRINCHERO SUTTER HOME WHITE ZINFADEL ROSE 750ML;48.75;69.99;Unidade;Sim;VINHOS;EUA;Sim;1.000;1.000;CANTU;;;2962;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN ARG CRIOS MALBEC TTO 750ML;51.63;79.99;Unidade;Sim;VINHOS;ARGENTINA;Sim;1.000;7.000;CANTU;;;80393;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,00E+12;Produto;VIN ITA LE CASINE SANGIOVESE TTO 750 ML;46.75;71.99;Unidade;Sim;VINHOS;ITALIA;Sim;1.000;3.000;CANTU;;;16415;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,00E+12;Produto;VIN ITA SETTESOLI PINOT GRIGIO BCO 750ML;38.53;57.99;Unidade;Sim;VINHOS;ITALIA;Sim;1.000;1.000;CANTU;;;926;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
2,00E+12;Produto;VIN URU BRACCOBOSCA OMBU TANNAT TTO 750ML;49.50;87.99;Unidade;Sim;VINHOS;URUGUAY;Sim;1.000;2.000;CANTU;;;6050023;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO QUEULAT CASABLANCA PINOT NOIR TTO 750ML;64.50;93.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;1.000;CANTU;;;1453;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO RESERVA COLCHAGUA CABERNET SAUVIGNON TTO 750ML;32.73;64.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;10.000;CANTU;;;135;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO RESERVA COLCHAGUA MERLOT TTO 750ML;45.82;64.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;9.000;CANTU;;;142;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI TANTEHUE CHARDONNAY BCO 750ML;20.96;37.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;13.000;CANTU;;;3051;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI TANTEHUE CABERNET SAUVIGNON TTO 750ML;17.60;37.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;14.000;CANTU;;;234;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
3,50E+12;Produto;ESPUM FRA LA ROCHE 750ML;28.38;65.00;Unidade;Sim;ESPUMANTES;FRANC“S;Sim;1.000;7.000;CANTU;;;362;;Mercadoria para Revenda;22041090;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;65.00;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN ARG CRIOS MALBEC ROSE 750ML;42.27;64.99;Unidade;Sim;VINHOS;ARGENTINA;Sim;1.000;3.000;CANTU;;;80249;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
5,60E+12;Produto;VIN POR QUINTA DE BONS VENTOS TTO 750ML;25.58;52.99;Unidade;Sim;VINHOS;PORTUGAL;Sim;1.000;11.000;CANTU;;;8011;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,00E+12;Produto;VINHO ITALIANO SETTESOLI NERO D'AVOLA;38.52;57.99;Unidade;Sim;VINHOS;ITALIA;Sim;1.000;4.000;CANTU;;;1374;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,00E+12;Produto;VIN ITA LE CASINE MONTEPULCIANO D'ABRUZZO TTO 750ML;46.88;71.99;Unidade;Sim;VINHOS;ITALIA;Sim;1.000;2.000;CANTU;;;29231;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,52E+11;Produto;VIN EUA TRINCHERO SUTTER HOME PINOT NOIR TTO 750ML;51.75;75.99;Unidade;Sim;VINHOS;EUA;Sim;1.000;3.000;CANTU;;;4256;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
5,60E+12;Produto;VIN POR HERDADE SAO MIGUEL COLHEITA SELECIONADA TTO 750ML;66.60;93.99;Unidade;Sim;VINHOS;PORTUGAL;Sim;1.000;3.000;CANTU;;;34210;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;COSTELA DO DIANTEIRO CONG BOV C/O BB HEREFORD;42.90;62.99;Quilograma;Sim;CARNES;;Sim;6.000;5.016;FRIGORIFICO SILVA;;7824;7824;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;COSTELA JANELA CONG BOVINO C/O ( TIRA);26.75;39.99;Quilograma;Sim;CARNES;;Sim;6.000;-30.466;FRIGORIFICO SILVA;;4373;4373;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;T BONE CONG BOV C/O ANGUS PV;73.20;99.99;Quilograma;Sim;CARNES;;Sim;6.000;-16.503;FRIGORIFICO SILVA;;6964;6964;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;99.99;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;CORACAO CONG BOV BB (VC);8.80;12.99;Quilograma;Sim;CARNES;;Sim;6.000;15.290;FRIGORIFICO SILVA;;6353;6353;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;MOIDA PATINHO   IQF CONG;20.90;32.99;Unidade;Sim;CARNES;;Sim;5.000;10.000;FRIGORIFICO SILVA;;3342;3342;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;COXAO MOLE (ISCAS) IQF CONG;37.22;54.99;Unidade;Sim;CARNES;;Sim;3.000;14.000;FRIGORIFICO SILVA;;3397;3397;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;54.99;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;CONTRA FILE (BIFE DE CHORIZO) RESF ANGUS;59.06;89.99;Quilograma;Sim;CARNES;;Sim;6.000;-40.914;FRIGORIFICO SILVA;;8388;8388;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;89.99;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;CAPA DO FILET RESF BOV S/O BB AU (IND);21.90;36.99;Quilograma;Sim;CARNES;;Sim;6.000;5.279;FRIGORIFICO SILVA;;7848;7848;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;CONTRA FILE RESF BOV BB BLACK LABEL;77.91;119.99;Quilograma;Sim;CARNES;;Sim;6.000;-25.566;FRIGORIFICO SILVA;;2378;2378;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;119.99;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;FILE DE COSTELA (RESF.BOV.BB PV);36.70;72.99;Quilograma;Sim;CARNES;;Sim;6.000;1.648;FRIGORIFICO SILVA;;2268;2268;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;MAMINHA RESF BOV S/O BB ANGUS (IND);73.70;109.99;Quilograma;Sim;CARNES;;Sim;5.000;-16.445;FRIGORIFICO SILVA;;2053;2053;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;109.99;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;PALETA RESF BOV S/O BB (PV);27.09;42.99;Quilograma;Sim;CARNES;;Sim;6.000;-3.331;FRIGORIFICO SILVA;;1358;1358;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;42.99;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;PICANHA RESF BOV S/O BB (SL);88.74;134.99;Quilograma;Sim;CARNES;;Sim;6.000;-28.638;FRIGORIFICO SILVA;;7978;7978;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;134.99;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;PICANHA(FATIADA RESF BOV S/O BB (VAC);50.78;84.99;Quilograma;Sim;CARNES;;Sim;6.000;-40.924;FRIGORIFICO SILVA;;1177;1177;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;84.99;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;PICANHA FATIADA ANGUS;50.78;84.99;Quilograma;Sim;CARNES;;Sim;6.000;-32.270;FRIGORIFICO SILVA;;9958;9958;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;84.99;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;RECORTES INTERCOSTAIS BANANINHA BEST BEEF;40.23;59.99;Quilograma;Sim;CARNES;;Sim;6.000;-15.980;FRIGORIFICO SILVA;;3734;3734;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;FILE DE COSTELA RESF BOV BB BLACK LABEL (PV);85.91;119.99;Quilograma;Sim;CARNES;;Sim;6.000;-26.236;FRIGORIFICO SILVA;;9650;9650;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;FILE DE COSTELA RESF BOV BB BLACK LABEL (PV);0.00;119.99;0.000;0.000;0.000;0.000;;;;
7,91E+12;Produto;FILET MIGNON RESF BOV S/O BB BLACK LABEL (IND);46.00;78.99;Quilograma;Sim;CARNES;;Sim;6.000;19.290;FRIGORIFICO SILVA;;9681;9681;;Mercadoria para Revenda;;NACIONAL;1708400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;ACHOC NESCAU 2.0 400GR ACTIGEN-E;5.47;7.79;Unidade;Sim;;;Sim;0.000;-4.000;ALIAR DISTRIBUIDORA;;;;;Mercadoria para Revenda;18069000;NACIONAL;1700600;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
1,79E+13;Produto;ADOCANTE ZERO CAL 100ML SACARINA CICLAMATO;4.29;6.29;Unidade;Sim;;;Sim;3.000;12.000;ALIAR DISTRIBUIDORA;;;4910901;;Mercadoria para Revenda;21069090;NACIONAL;1709700;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
3,79E+13;Produto;AGUA COCO SOCOCO 1LI TP;6.14;12.00;Unidade;N∆o;;;Sim;3.000;5.000;ALIAR DISTRIBUIDORA;;;4401400;;Mercadoria para Revenda;20098921;NACIONAL;1701100;;;;;;0.00;12.00;0.000;0.000;0.000;0.000;;;;
1,79E+13;Produto;AGUA COCO SOCOCO 200ML;2.00;3.50;Unidade;Sim;;;Sim;3.000;-28.000;ALIAR DISTRIBUIDORA;;;4400355;;Mercadoria para Revenda;20098921;NACIONAL;1701100;;;;;;0.00;3.50;0.000;0.000;0.000;0.000;;;;
3,79E+13;Produto;ATUM COQUEIRO 170GR RALADO OLEO AB FACIL;5.54;8.00;Unidade;Sim;;;Sim;3.000;23.000;ALIAR DISTRIBUIDORA;;;1822021;;Mercadoria para Revenda;16042010;NACIONAL;1708001;;;;;;0.00;8.00;0.000;0.000;0.000;0.000;;;;
5,60E+12;Produto;AZ OLIVA PORT ANDORINHA 500ML VD EXT VIRGEM;18.23;25.99;Unidade;Sim;;;Sim;3.000;10.000;ALIAR DISTRIBUIDORA;;;6120152;;Mercadoria para Revenda;15099090;ESTRANG-ADQUIRIDA NO MERC.INT.;1706700;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;AZEITONA VDE PRAMESA 170G VD S/C;4.62;6.99;Unidade;Sim;;;Sim;3.000;21.000;ALIAR DISTRIBUIDORA;;;225022;;Mercadoria para Revenda;20057000;NACIONAL;1709200;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;BALA FREEGELLS 584GR AZEDINHA MOR;5.00;10.00;Unidade;Sim;;;Sim;1.000;7.000;ALIAR DISTRIBUIDORA;;;1029193;;Mercadoria para Revenda;17049020;NACIONAL;1700300;;;;;;0.00;10.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;BALA FREEGELLS 584GR EXT FORTE;5.00;10.00;Unidade;Sim;;;Sim;1.000;1.000;ALIAR DISTRIBUIDORA;;;1029278;;Mercadoria para Revenda;17049020;NACIONAL;1700300;;;;;;0.00;10.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;BALA FREEGELLS 584GR MENTA;5.00;10.00;Unidade;Sim;;;Sim;1.000;6.000;ALIAR DISTRIBUIDORA;;;1029285;;Mercadoria para Revenda;17049020;NACIONAL;1700300;;;;;;0.00;10.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;BB GAROTO 250GR SORTIDOS;8.99;12.99;Unidade;Sim;;;Sim;3.000;-1.000;ALIAR DISTRIBUIDORA;;;8114017;;Mercadoria para Revenda;18069000;NACIONAL;1700700;;;;;;0.00;12.99;0.000;0.000;0.000;0.000;;;;
1,79E+13;Produto;BB SONHO DE VALSA 1KG;31.19;49.99;Unidade;N∆o;;;Sim;3.000;10.000;ALIAR DISTRIBUIDORA;;;9602034;;Mercadoria para Revenda;18069000;NACIONAL;1705800;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
2,00E+12;Produto;BEB CONHAQUE PRESIDENTE 900ML;8.40;14.99;Unidade;Sim;;;Sim;2.000;0.000;ALIAR DISTRIBUIDORA;;;10000004;;Mercadoria para Revenda;22089000;NACIONAL;299900;;;;;;0.00;14.99;0.000;0.000;0.000;0.000;;;;
2,79E+13;Produto;BEB VH CATUABA SELVAGEM 1LI;9.78;14.99;Unidade;Sim;;;Sim;3.000;-4.000;ALIAR DISTRIBUIDORA;;;6802183;;Mercadoria para Revenda;22060090;NACIONAL;200500;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+13;Produto;BEB VH PERGOLA 1LI TTO SVE;16.66;24.00;Unidade;Sim;;;Sim;3.000;61.000;ALIAR DISTRIBUIDORA;;;9014170;;Mercadoria para Revenda;22042100;NACIONAL;202400;;;;;;0.00;24.00;0.000;0.000;0.000;0.000;;;;
1,79E+13;Produto;BEB VH SAO VICTOR TTO 1L BORDO SUAVE;11.91;15.99;Unidade;Sim;VINHOS;BRASIL;Sim;3.000;6.000;ALIAR DISTRIBUIDORA;;;503011;;Mercadoria para Revenda;22042100;NACIONAL;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
1,79E+13;Produto;BISC MARILAN 080GR COOKIE ORIG GOTAS CHOC;3.38;4.99;Unidade;Sim;;;Sim;2.000;39.000;ALIAR DISTRIBUIDORA;;;3704478;;Mercadoria para Revenda;19053100;NACIONAL;1705300;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
1,79E+13;Produto;CAFE PILAO 500GR VACUO TRADICIONAL;8.60;11.99;Unidade;Sim;;;Sim;2.000;20.000;ALIAR DISTRIBUIDORA;;;9011354;;Mercadoria para Revenda;;NACIONAL;1709600;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;CALDO KNORR 057GR GALINHA;0.99;1.39;Unidade;Sim;;;Sim;3.000;10.000;ALIAR DISTRIBUIDORA;;;77475;;Mercadoria para Revenda;21041011;NACIONAL;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
1,79E+13;Produto;CHA LEAO FUZE CAMOMILA 1GRX10UNI;2.24;3.29;Unidade;Sim;;;Sim;2.000;10.000;ALIAR DISTRIBUIDORA;;;8030167;;Mercadoria para Revenda;12119090;NACIONAL;1709700;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
